Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.207,2.346645294295318,1.0367175749399107,2.5804571675127614,134.45287137735673,59.399541591094525,147.84930491276413,-13.848,-60.634,12.2,-16.479,113.698,20.1
0.208,2.346592988889338,1.0374257240058604,2.58009905223761,134.44987449834835,59.440115543839575,147.82878641891878,-13.832,-60.595,12.2,-16.469,113.698,20.1
0.209,2.347120642773899,1.0375996640623404,2.5802770761202463,134.48010683897738,59.450081574964145,147.83898643604635,-13.821,-60.59,12.2,-16.452,113.698,20.1
0.211,2.296402400914376,1.025175587279278,2.552425767324605,131.57416563610298,58.738234410948195,146.24322398814053,-13.81,-60.595,10.3,-16.441,113.698,20.1
0.213,2.2971571330673317,1.0253404073277035,2.5528322300457047,131.61740860313014,58.74767790410212,146.26651258658896,-13.793,-60.595,10.3,-16.425,113.698,20.1
0.214,2.2969669045136287,1.0259826404015082,2.5523473535937304,131.6065093098601,58.784475148694845,146.23873121230554,-13.782,-60.557,10.3,-16.414,113.698,20.1
0.214,2.297371032549557,1.0262627171951695,2.5523855596991805,131.6296641407017,58.80052236691119,146.24092026089946,-13.771,-60.551,10.3,-16.397,113.692,20.1
0.214,2.2981203768594662,1.02633326369501,2.5528872301984435,131.67259840706163,58.80456438361147,146.26966386321345,-13.755,-60.557,10.3,-16.386,113.692,20.1
0.213,2.2986206798687796,1.0264398496758682,2.553150974596724,131.701263657973,58.81067131046991,146.28477530410512,-13.744,-60.557,10.3,-16.375,113.692,20.1
0.212,2.2985801469132086,1.0271545201902006,2.552790400214248,131.69894129068757,58.8516189146836,146.26411591378871,-13.727,-60.518,10.3,-16.364,113.692,20.1
0.21,2.298989832898857,1.0273316335451708,2.552956024471955,131.7224145685909,58.86176676241879,146.27360548474033,-13.716,-60.513,10.3,-16.353,113.692,20.1
0.209,2.2997220707160335,1.0274161028436835,2.553439129483984,131.76436870511498,58.866606496722,146.30128536299122,-13.7,-60.518,10.3,-16.342,113.692,20.1
0.208,2.3000273430361537,1.0275931512103478,2.5536050851515193,131.78185952066002,58.87675062090155,146.31079392232726,-13.689,-60.513,10.3,-16.337,113.692,20.1
0.207,2.2999098917753305,1.0281609780699665,2.55320770497128,131.77513005911635,58.909284703451874,146.2880257151374,-13.678,-60.474,10.3,-16.326,113.698,20.1
0.206,2.3002327988427003,1.028338059092011,2.5533739324900435,131.7936312712516,58.919430698646885,146.29754985040148,-13.667,-60.469,10.3,-16.32,113.698,20.1
0.204,2.3005799596217473,1.028325604785814,2.5536171308689273,131.81352211870347,58.918717119465036,146.31148409109593,-13.661,-60.474,10.3,-16.315,113.698,20.1
0.202,2.300966025838289,1.0284223968045203,2.5538580930741515,131.8356420835239,58.92426289362746,146.32529020847747,-13.651,-60.474,10.3,-16.309,113.698,20.1
0.201,2.3003323845704196,1.02910138080955,2.55313407588272,131.79933711314965,58.96316581147254,146.28380707911353,-13.645,-60.43,10.3,-16.309,113.698,20.1
