No,Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
59,-0.165,-0.1578333146734592,0.07427820913398131,-0.07172852240594121,-9.04318279734946,4.25582789316721,-4.109741604569993,1.219,7.004,56.03,0.467,-5.317,110.819,16.33156118649241,0.59762865857864,1.6787552657349505,7.286675429141728,5.836058229443666,-1.0705946539810443
60,-0.166,-0.15841036115755613,0.07273539064326351,-0.07156774202665998,-9.076245125471077,4.167430905094337,-4.100529567408666,1.214,7.02,56.025,0.374,-5.334,110.819,16.347607638036486,0.5935049814911622,1.67301178393347,7.267617627117346,5.745298906801069,-1.0909902414617245
61,-0.167,-0.1587973230334978,0.07148568142086043,-0.07130265135766474,-9.098416407795,4.095827841032064,-4.085340990886939,1.203,7.031,56.019,0.291,-5.345,110.825,16.358655059527006,0.5836226891672048,1.6653091515648284,7.255359009959837,5.662989189118355,-1.1033031153643835
62,-0.169,-0.159177542001556,0.07014520107862521,-0.07096865394692412,-9.120201349955554,4.019023974901734,-4.066204348883204,1.192,7.048,56.014,0.203,-5.35,110.836,16.37569173286219,0.5735783613690154,1.658593114059824,7.24947912201078,5.574708948622367,-1.1118054610266441
63,-0.173,-0.15956217841936243,0.0690735414610193,-0.07074294216164431,-9.142239393342892,3.9576224017383117,-4.0532720162003075,1.176,7.064,56.014,0.126,-5.356,110.847,16.391666128359486,0.5577899208492938,1.655999699016141,7.242860108432034,5.497163704316562,-1.1178947263157586
64,-0.177,-0.1596471635755827,0.0684143526547647,-0.070451144400944,-9.147108684115574,3.9198536652376563,-4.036553236040811,1.159,7.075,56.014,0.071,-5.35,110.863,16.402639706720034,0.5410147015457664,1.6532442107698153,7.249178949237538,5.439998057800968,-1.1142604396380373
65,-0.179,-0.15964464850682536,0.06794187512619776,-0.07025270517759839,-9.146964581290593,3.892782696935999,-4.025183506053255,1.148,7.086,56.014,0.033,-5.339,110.874,16.41362304032169,0.5301601472095961,1.651461255935379,7.260401065516416,5.400513676552707,-1.111803326742334
66,-0.181,-0.1595596713337958,0.06782998222266379,-0.07016442132427345,-9.142095747921047,3.886371705806038,-4.020125213858583,1.132,7.092,56.019,0.011,-5.328,110.885,16.419544873681343,0.5135614682777634,1.653801002934388,7.271956771455316,5.376643965606076,-1.1058409109815777
67,-0.182,-0.1593671785358453,0.06783513923210616,-0.06999014257606122,-9.131066723011818,3.886667180681995,-4.010139777127199,1.121,7.097,56.019,0.0,-5.312,110.896,16.424529061776813,0.5027069110039819,1.6520180737669703,7.288739253596387,5.363509254956919,-1.0974687364206084
68,-0.183,-0.159370781675174,0.0678193526328037,-0.07002547108101217,-9.131273167688349,3.8857626751691,-4.012163951357396,1.11,7.103,56.025,-0.011,-5.306,110.901,16.430448123148167,0.4908800729518497,1.6561549257369346,7.294972295104578,5.351683417336608,-1.094978023839019
69,-0.183,-0.15937416836130444,0.0679125621177219,-0.07003189049749001,-9.13146721051016,3.891103185265501,-4.012531756828513,1.099,7.108,56.03,-0.016,-5.301,110.907,16.43537841201286,0.47921528257275076,1.6593051777135088,7.300419788219366,5.345494874652428,-1.090192532821791
70,-0.181,-0.1593870407263841,0.06799079003478958,-0.07005665555454374,-9.132204742701576,3.895585314753579,-4.013950690077092,1.088,7.114,56.03,-0.022,-5.295,110.907,16.441363669188906,0.4683607201358985,1.6575222891401866,7.306297375179342,5.3396394051175,-1.091507242477698
71,-0.177,-0.15947840806267954,0.06808069195476407,-0.07009784906360038,-9.137439705456657,3.9007363153382397,-4.016310904289371,1.077,7.119,56.036,-0.027,-5.295,110.912,16.44628370654557,0.4565338832472514,1.661659219798314,7.306653426307807,5.333669007637456,-1.087702035014405
72,-0.171,-0.15959321429046536,0.06805503605170049,-0.07020912679865203,-9.144017617770603,3.8992663403731,-4.022686648861606,1.066,7.13,56.041,-0.038,-5.29,110.912,16.457214986881525,0.444869093018211,1.6648095436875732,7.311429601930991,5.322933987817812,-1.0901123144256168
73,-0.165,-0.15948769111442032,0.0679607275849845,-0.07011799859909454,-9.137971585142406,3.8938628632579237,-4.017465387632336,1.06,7.141,56.041,-0.049,-5.273,110.918,16.468207486572958,0.43894841988620464,1.6638370798479545,7.328755751279611,5.310889948308222,-1.086641793686518
74,-0.159,-0.15958869974509754,0.06782167659366478,-0.07015873925225363,-9.143758953374606,3.8858958283181937,-4.0197996551129584,1.055,7.163,56.047,-0.06,-5.257,110.923,16.49013563201331,0.43304225986025274,1.6689465341453906,7.344990751879119,5.299064067140608,-1.0841515076586792
75,-0.158,-0.15949365375459074,0.06752108154282221,-0.06998719492880841,-9.138313219258926,3.868673000562394,-4.00997088938012,1.049,7.191,56.047,-0.082,-5.224,110.934,16.518128332505125,0.42712158538313894,1.6679740800232985,7.378553609517631,5.275194089212148,-1.0781911706889447
76,-0.162,-0.15966512286317142,0.0671791105045707,-0.06991793301894222,-9.148137675497468,3.8490795033548757,-4.006002474263772,1.044,7.234,56.047,-0.104,-5.191,110.94,16.561122326350276,0.4221876898914654,1.667163702733608,7.411660573779656,5.252415014693792,-1.0771313963838425
77,-0.171,-0.1597527195783115,0.06683193746290517,-0.06984314903222442,-9.153156597574204,3.829187953306721,-4.00171766744968,1.044,7.278,56.052,-0.121,-5.153,110.951,16.605067540680277,0.42137747199651454,1.67209691328639,7.450326862013176,5.233424491612022,-1.0700762428711825
78,-0.181,-0.15984944213062452,0.06639416162196321,-0.06978696858518572,-9.158698391605474,3.8041052452479565,-3.998498764943204,1.044,7.328,56.052,-0.143,-5.109,110.956,16.655067540680278,0.42137747199652725,1.6720969132863854,7.494345611204916,5.210863604899425,-1.0699968072577808
79,-0.188,-0.1599251590817758,0.06605625920808333,-0.06981687539431468,-9.16303665334404,3.784744863045357,-4.000212298884996,1.044,7.372,56.058,-0.159,-5.07,110.962,16.699001705797905,0.42040521675343795,1.6780167662959793,7.533576679762748,5.193939938966684,-1.067622861963054
80,-0.191,-0.16001384386894918,0.06561558107006227,-0.06983355951443582,-9.168117917356092,3.759495865613066,-4.001168228552827,1.049,7.416,56.063,-0.176,-5.032,110.967,16.7429527360367,0.4245289072252496,1.6837603393269875,7.571697468922836,5.1762585681671975,-1.0664480490748445
81,-0.192,-0.1600766419132269,0.0651821179233052,-0.06983620435941888,-9.17171598025488,3.734660256729426,-4.001319767007823,1.06,7.454,56.069,-0.187,-4.999,110.973,16.780900051133877,0.43441124270320186,1.6914629743452076,7.605029103157633,5.164214397915156,-1.06297885065769
82,-0.192,-0.16005388848166202,0.06476182224421301,-0.0698271992971854,-9.170412304656773,3.7105790881698586,-4.0008038149475915,1.071,7.482,56.074,-0.198,-4.971,110.978,16.808858582168874,0.4444556267099093,1.6981789521828043,7.633269700821652,5.152388423915104,-1.0604896454340698
