Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg)
0.333,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.338,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.347,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.361,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.378,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.392,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.393,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.384,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.372,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.355,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.344,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.361,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.378,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.392,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.393,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.384,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.372,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.355,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.344,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.337,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.333,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.327,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.315,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.299,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.286,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.273,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.259,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.337,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.333,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.327,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.315,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.299,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.286,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.273,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.259,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.239,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.211,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.178,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.146,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.117,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.086,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.053,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.022,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.239,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.211,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.178,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.146,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.117,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.086,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.053,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.022,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.002,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.018,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.043,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.072,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.097,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.113,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.113,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.103,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
0.002,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.018,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.043,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.072,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.097,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.113,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.113,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.103,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.085,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.066,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.05,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.039,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.035,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.034,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.04,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.054,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.085,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.066,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.05,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
-0.039,0.008415651016741623,0.007046343810905409,-0.005411908314536695,0.4821812851142751,0.40372576136300853,-0.3100795055347115
